Name,Activities,Subsector Activities,PO Box,City,Fax,Email,Location,Manager
 BOURSE DES VALEURS MOBILIÈRES DE L’AFRIQUE CENTRALE (BVMAC), Commerce des valeurs mobilières, Services, B.P. 442, DOUALA, 233 43 85 84, info@bvmac-ac.org, Akwa, Monsieur Jean-Claude Ngbwa (Directeur général)
ACAMET, Faciliter et promouvoir le développement de ses membres et de la météorologie au Cameroun,None, 5773, Douala,None, acamet.cam@gmail.com, 213 rue Vasnitex Bonapriso, M. TCHAKOUNTE Ephreim
ABIOGeT, Foresterie - Protection de l'environnement - Technologies propres,None, 127, MAROUA,None, contact@abioget.org," Maroua (Bureau CNPS, local B-1.1", Monsieur Clément Sofalne (D.G)
ACAM VIE S.A, Assurances Vie, Intermédiation financière et assurances, B.P 2000, DOUALA,None, directiongenerale@acamvie.com, Avenue de l’Indépendance à Bonapriso (non loin du carrefour dit Hôtel de l’air), Monsieur Aymric A. KAMEGA KAMEGA (Président)
ABB (ASEA BROWN BOVERI), Energie & Automation, Autres services, B.P. 13222, DOUALA, 233 37 82 56,None," Bassa, ndokoti", Monsieur Pascal Blaise MOOH (Directeur général)
AC2P (ASSOCIATION CAMEROUNAISE DES PROFESSIONNELS DE LA PLASTURGIE ), Plasturgie, Organisation Professionnelle, B.P. 8722, DOUALA, 233 40 31 90, ac2p2013@gmail.com, Bassa- Ndokoti locaux Mitchimie, Monsieur WAFO FOKO Emmanuel(Président)
3T CAMEROUN," Transport routier, aérien, maritime, Transit, Acconage, Manutention, Consignation des navires, Entreposage, Groupage et Dégroupage", Transport/transit, B.P. 12554, DOUALA, 233 40 41 74, 3t@tafinvestment.com," Zone portuaire, entrée nord", Monsieur Gaël FOTSO (Directeur Général)
ACTIVA ASSURANCES," Assurances vie, voyage, santé", Assurances, B.P. 12970, DOUALA, 233 43 45 72, activa.assur@group-activa.com, Akwa, Monsieur  Richard LOWE(Président directeur général)
ADDAX PETROLEUM CAMEROON Ltd, Exploitation et Production pétrolière, Industrie extractive, B.P. 2273, DOUALA, 233 43 27 23, philomen.edjimbi@cm.addaxpetroleum.com, Zone portuaire -Youpwe, Monsieur BIN QU(Président Directeur Général)
ACE (African Consulting Entreprise), Cabinet conseil, cabinet conseil, B.P. 2439, DOUALA, 233 42 86 45/53, baoace@yahoo.fr," Akwa, immeuble Erns&yong, face direction orange",None
ADIALEA CAMEROUN, Commerce Général,None, B.P 12153, DOUALA,None," pmarcillon@cfao.com, aferrer@cfao.com, rmahend@cfao.com, fxcornen@cfao.com"," Bali,  Rue des manguiers Batiment l'Elisabeth", Monsieur Philippe MARCILLON (Directeur Général)
AFRICA WORKS SARL," Entretien et Nettoyage, Espaces verts",None,None, DOUALA,None, africaworks2006@yahoo.fr, Avenue Manga Bell, Madame NGO MAHOP épouse AKUMCHI Anne Hermine (D.G)
AFRICAN TRADING COMPANY Sarl, Import-Export,None, 5727, Douala,None, atc@bellesgraines.com," Bali, rue des manguier", M. EL HADJ Ousmane MAHMAT (DG)
ADIC (African Distilling Company SA), Producteur d'alcool et liqueurs, Industrie Agroalimentaire, B.P.2199, DOUALA, 233 39 15 85 / 233 42 01 60, adic2@yahoo.fr, Bonabéri, Monsieur NOUCTI Tchokwago (Président directeur général)
AFRICA BUSINESS CENTER, Conseils en gestion d'entreprises,None,None, YAOUNDE,None, contact@africa-business-centers.com," Yaoundé, Intendance, face Tribunal militaire", Monsieur Désire  MAKAN II (D.G)
